chr	start	end	width	strand	Length	gencodeID	gene_type	EntrezID	Symbol	meanExprs	MGI_Symbol	logFC	t	P.Value	adj.P.Val
chr11	85,170,404	85,181,145	10,742	+	995	ENSMUSG00000018479.12	protein_coding	73634	1700125H20Rik	0.556979093	MGI:MGI:1920884	0.438283596	4.288170231	0.00004881474274	0.0010796507
chr12	56,531,958	56,536,908	4,951	-	2,842	ENSMUSG00000001496.15	protein_coding	21869	Nkx2-1	2.694477388	MGI:MGI:108067	-0.325472707	-4.287596234	0.00004891778929	0.0010796507
chr13	12,615,057	12,650,388	35,332	-	4,716	ENSMUSG00000097715.2	transcribed_unprocessed_pseudogene	664862	Gpr137b-ps	2.793305822	MGI:MGI:3710533	0.141269838	4.288010057	0.00004884347683	0.0010796507
chr2	128,698,956	128,802,894	103,939	+	4,336	ENSMUSG00000014361.5	protein_coding	17289	Mertk	3.371548619	MGI:MGI:96965	0.258032669	4.286681595	0.00004908242333	0.0010805229
chr3	103,722,222	103,738,001	15,780	-	6,161	ENSMUSG00000027848.12	protein_coding	99543	Olfml3	1.563144480	MGI:MGI:1914877	-0.322619750	-4.286475505	0.00004911959322	0.0010805229
chr13	61,804,257	61,861,479	57,223	+	2,604	ENSMUSG00000113626.1	transcribed_processed_pseudogene	638502	Gm7240	0.384602817	MGI:MGI:3643235	-0.343925738	-4.286827337	0.00004905615425	0.0010805229
chr2	139,678,178	139,758,580	80,403	+	2,965	ENSMUSG00000074766.10	protein_coding	319909	Ism1	0.815717882	MGI:MGI:2442963	0.290327728	4.285456803	0.00004930372238	0.0010833801
chr12	108,334,381	108,362,234	27,854	+	3,287	ENSMUSG00000021259.5	protein_coding	13116	Cyp46a1	19.296418630	MGI:MGI:1341877	0.137621085	4.283133959	0.00004972606863	0.0010914599
chr3	88,605,966	88,646,929	40,964	+	9,844	ENSMUSG00000028059.16	protein_coding	16800	Arhgef2	10.384266137	MGI:MGI:103264	-0.143857526	-4.281984078	0.00004993643338	0.0010948741
chr2	122,681,233	122,702,663	21,431	-	5,482	ENSMUSG00000005802.12	protein_coding	22785	Slc30a4	15.198267723	MGI:MGI:1345282	0.137092530	4.281600065	0.00005000687756	0.0010952164
chr6	137,252,319	137,463,227	210,909	+	6,723	ENSMUSG00000030223.14	protein_coding	19277	Ptpro	20.205910626	MGI:MGI:1097152	-0.132548380	-4.279357677	0.00005042014576	0.0011030580
chr3	152,236,982	152,266,318	29,337	-	3,826	ENSMUSG00000039103.12	protein_coding	68810	Nexn	1.820269063	MGI:MGI:1916060	-0.272188650	-4.277568370	0.00005075227417	0.0011078972
chr5	150,599,932	150,607,003	7,072	-	4,620	ENSMUSG00000107096.3	lincRNA	NA	Gm43597	2.047960044	NA	-0.210230663	-4.277765448	0.00005071558956	0.0011078972
chrX	71,962,624	71,972,722	10,099	+	6,087	ENSMUSG00000033361.13	protein_coding	208748	Prrg3	6.455428175	MGI:MGI:2685214	-0.123352246	-4.275677727	0.00005110550607	0.0011143902
chr12	100,110,154	100,123,405	13,252	+	1,933	ENSMUSG00000021178.9	protein_coding	19179	Psmc1	74.636734018	MGI:MGI:106054	0.086753218	4.272602905	0.00005168505225	0.0011257985
chr15	59,331,997	59,374,167	42,171	-	4,244	ENSMUSG00000022350.7	protein_coding	223593	Washc5	13.811350100	MGI:MGI:2146110	-0.071053448	-4.272259993	0.00005175007649	0.0011259870
chr5	76,140,271	76,155,479	15,209	+	4,648	ENSMUSG00000029233.15	protein_coding	57357	Srd5a3	2.899571228	MGI:MGI:1930252	0.127364224	4.271298410	0.00005193283644	0.0011287339
chr7	104,244,457	104,262,234	17,778	+	2,592	ENSMUSG00000056144.14	protein_coding	94094	Trim34a	1.864266545	MGI:MGI:2137359	-0.368357005	-4.270018891	0.00005217698971	0.0011315778
chr11	69,664,213	69,666,153	1,941	-	1,257	ENSMUSG00000018774.13	protein_coding	12514	Cd68	4.353051427	MGI:MGI:88342	0.190197410	4.270069144	0.00005216737966	0.0011315778
chr17	22,687,720	22,690,460	2,741	+	1,733	ENSMUSG00000117055.1	processed_pseudogene	100534296	Gm9805	0.375693423	MGI:MGI:3642566	-0.397958215	-4.268600463	0.00005244894330	0.0011362421
chr11	69,343,273	69,369,406	26,134	-	8,443	ENSMUSG00000018474.18	protein_coding	216848	Chd3	82.661781742	MGI:MGI:1344395	-0.097347996	-4.267592395	0.00005264305014	0.0011392116
chr7	115,470,872	116,038,744	567,873	-	14,832	ENSMUSG00000051910.13	protein_coding	20679	Sox6	3.956094217	MGI:MGI:98368	-0.137410229	-4.266594514	0.00005283587766	0.0011421470
chr2	62,474,530	62,483,650	9,121	-	1,494	ENSMUSG00000000394.15	protein_coding	14526	Gcg	0.236823982	MGI:MGI:95674	-0.467166760	-4.265217745	0.00005310303951	0.0011466812
chr4	141,793,612	141,815,976	22,365	+	5,197	ENSMUSG00000028914.13	protein_coding	12371	Casp9	7.154541968	MGI:MGI:1277950	0.079567646	4.264217490	0.00005329795588	0.0011494947
chr7	45,215,753	45,233,644	17,892	+	4,788	ENSMUSG00000030796.17	protein_coding	21677	Tead2	3.237358267	MGI:MGI:104904	-0.146420456	-4.263756304	0.00005338805794	0.0011494947
chr8	77,595,982	77,610,698	14,717	-	2,723	ENSMUSG00000031617.16	protein_coding	234463	Tmem184c	20.673091247	MGI:MGI:2384562	-0.098075481	-4.263664644	0.00005340598309	0.0011494947
chr8	70,042,813	70,072,347	29,535	+	6,109	ENSMUSG00000011306.7	protein_coding	70616	Sugp1	7.237613554	MGI:MGI:1917866	-0.098888836	-4.262233656	0.00005368658277	0.0011542904
chr9	105,642,978	105,687,531	44,554	+	9,660	ENSMUSG00000032571.14	protein_coding	75669	Pik3r4	3.231386008	MGI:MGI:1922919	-0.093823948	-4.261322326	0.00005386602449	0.0011569032
chr5	145,280,500	145,291,278	10,779	+	1,928	ENSMUSG00000070420.4	protein_coding	666311	Zscan25	6.957605046	MGI:MGI:3647079	0.180320294	4.259002876	0.00005432534043	0.0011655149
chr2	24,949,792	24,962,075	12,284	+	4,168	ENSMUSG00000026974.11	protein_coding	67187	Zmynd19	15.300166735	MGI:MGI:1914437	0.106391281	4.257874336	0.00005455018683	0.0011680618
chr4	126,743,750	126,753,427	9,678	-	3,710	ENSMUSG00000028833.13	protein_coding	26562	Ncdn	127.303629593	MGI:MGI:1347351	0.110703062	4.257789105	0.00005456720449	0.0011680618
chr13	54,071,869	54,108,342	36,474	+	9,841	ENSMUSG00000021474.9	protein_coding	14057	Sfxn1	10.108158197	MGI:MGI:2137677	0.077165595	4.257527388	0.00005461949186	0.0011680618
chr7	29,289,308	29,293,801	4,494	+	1,367	ENSMUSG00000037166.5	protein_coding	68458	Ppp1r14a	1.058244393	MGI:MGI:1931139	-0.457120517	-4.255952532	0.00005493514819	0.0011735558
chr12	17,902,389	17,904,675	2,287	+	1,214	ENSMUSG00000114025.1	unprocessed_pseudogene	NA	Gm49331	3.217684700	NA	-0.260741434	-4.255339035	0.00005505859021	0.0011749362
chr8	72,443,880	72,461,001	17,122	+	2,970	ENSMUSG00000052794.13	protein_coding	72254	1700030K09Rik	4.085729545	MGI:MGI:1919504	-0.121515189	-4.253829964	0.00005536337038	0.0011801793
chr2	29,965,560	30,031,448	65,889	+	13,431	ENSMUSG00000057738.14	protein_coding	20740	Sptan1	68.113399059	MGI:MGI:98386	-0.108551259	-4.253278714	0.00005547510908	0.0011813005
chr11	3,330,401	3,342,971	12,571	+	4,272	ENSMUSG00000034614.14	protein_coding	216505	Pik3ip1	5.935589614	MGI:MGI:1917016	0.158855392	4.250670674	0.00005600671598	0.0011913505
chr11	17,051,586	17,079,371	27,786	+	4,003	ENSMUSG00000044629.5	protein_coding	380686	Cnrip1	24.929771474	MGI:MGI:1917505	0.115328481	4.248819130	0.00005638710214	0.0011981659
chr6	137,735,078	137,751,932	16,855	+	3,090	ENSMUSG00000030224.10	protein_coding	20901	Strap	49.664092338	MGI:MGI:1329037	0.100364803	4.246193672	0.00005693075755	0.0012071496
chr7	108,950,338	109,034,460	84,123	+	8,391	ENSMUSG00000031028.14	protein_coding	22141	Tub	33.196454314	MGI:MGI:2651573	0.083401328	4.246385238	0.00005689091942	0.0012071496
chr18	64,887,705	65,213,404	325,700	+	19,400	ENSMUSG00000024589.18	protein_coding	83814	Nedd4l	7.741941449	MGI:MGI:1933754	-0.125090603	-4.244584668	0.00005726642952	0.0012129795
chr1	191,906,767	191,913,247	6,481	+	5,244	ENSMUSG00000037434.7	protein_coding	22782	Slc30a1	5.906852129	MGI:MGI:1345281	0.171236500	4.243770583	0.00005743699109	0.0012153035
chr13	63,815,240	63,900,302	85,063	+	15,199	ENSMUSG00000021470.19	protein_coding	76251	Ercc6l2	1.222686329	MGI:MGI:1923501	-0.133810459	-4.243435051	0.00005750743193	0.0012155063
chr19	9,980,598	9,985,098	4,501	+	3,469	ENSMUSG00000024661.7	protein_coding	14319	Fth1	263.270394831	MGI:MGI:95588	0.100585339	4.242921153	0.00005761548014	0.0012165027
chr7	110,018,274	110,056,609	38,336	+	11,169	ENSMUSG00000066232.4	protein_coding	233726	Ipo7	13.959355564	MGI:MGI:2152414	-0.125518096	-4.241305069	0.00005795654246	0.0012224118
chr2	75,138,843	75,317,820	178,978	+	7,972	ENSMUSG00000100303.3	lincRNA	102635707	2600014E21Rik	0.229148439	MGI:MGI:1919384	-0.289698611	-4.238652200	0.00005852063572	0.0012311464
chr3	95,871,522	95,889,093	17,572	+	2,553	ENSMUSG00000080727.2	antisense	100042889	C920021L13Rik	0.341767605	MGI:MGI:1923991	0.335350089	4.237934853	0.00005867407587	0.0012311464
chr3	101,377,083	101,463,059	85,977	+	8,479	ENSMUSG00000042035.11	protein_coding	78908	Igsf3	14.173242739	MGI:MGI:1926158	-0.106431573	-4.238911933	0.00005846517435	0.0012311464
chr12	14,146,830	14,152,054	5,225	-	4,308	ENSMUSG00000020607.7	protein_coding	105005	Lratd1	23.719304336	MGI:MGI:2145011	-0.169395352	-4.237912560	0.00005867885066	0.0012311464
chr14	20,348,162	20,383,276	35,115	+	9,400	ENSMUSG00000039599.16	protein_coding	105428	Fam149b	3.285870044	MGI:MGI:2145567	-0.092334199	-4.238377203	0.00005857941157	0.0012311464
chr6	72,841,114	72,899,979	58,866	-	6,325	ENSMUSG00000055239.10	protein_coding	74287	Kcmf1	9.730158427	MGI:MGI:1921537	0.083696448	4.237414624	0.00005878559523	0.0012320918
chr6	127,689,011	127,769,472	80,462	-	2,724	ENSMUSG00000030350.8	protein_coding	381813	Prmt8	24.465734647	MGI:MGI:3043083	0.081585655	4.236213235	0.00005904391355	0.0012336225
chr9	122,945,089	122,951,000	5,912	-	5,594	ENSMUSG00000032551.7	protein_coding	66202	1110059G10Rik	3.131406099	MGI:MGI:1913452	0.114281556	4.236723631	0.00005893403654	0.0012336225
chr11	22,972,005	22,974,514	2,510	+	4,492	ENSMUSG00000044068.7	protein_coding	22183	Zrsr1	8.257030210	MGI:MGI:98885	0.110196749	4.236255081	0.00005903489761	0.0012336225
chr5	136,147,459	136,170,713	23,255	-	6,077	ENSMUSG00000039747.11	protein_coding	269717	Orai2	14.785109738	MGI:MGI:2443195	0.091857739	4.235392097	0.00005922110089	0.0012360316
chr13	96,542,618	96,638,015	95,398	+	8,236	ENSMUSG00000021669.15	protein_coding	68018	Cert1	7.028625818	MGI:MGI:1915268	0.193874371	4.235086737	0.00005928712300	0.0012361179
chr17	6,256,860	6,308,314	51,455	+	6,548	ENSMUSG00000038141.11	protein_coding	77106	Tmem181a	8.375481251	MGI:MGI:1924356	0.084569435	4.233453239	0.00005964150975	0.0012422101
chr8	25,578,490	25,597,582	19,093	-	7,238	ENSMUSG00000037363.9	protein_coding	270035	Letm2	1.031530796	MGI:MGI:2444979	-0.213685422	-4.231892466	0.00005998202624	0.0012480010
chr1	121,328,092	121,331,149	3,058	+	3,058	ENSMUSG00000104253.1	TEC	NA	Gm37174	0.419848022	NA	0.305764066	4.229998082	0.00006039784589	0.0012553450
chr11	118,428,203	118,449,963	21,761	+	3,131	ENSMUSG00000017446.14	protein_coding	56745	C1qtnf1	1.899296343	MGI:MGI:1919254	0.162746025	4.225675031	0.00006135719353	0.0012739590
chr4	148,098,437	148,130,698	32,262	-	5,200	ENSMUSG00000029005.4	protein_coding	70433	Draxin	18.434829882	MGI:MGI:1917683	-0.153337473	-4.223497893	0.00006184587720	0.0012805900
chr10	127,538,161	127,621,148	82,988	-	17,717	ENSMUSG00000040249.15	protein_coding	16971	Lrp1	16.469660159	MGI:MGI:96828	-0.156531410	-4.223395745	0.00006186889728	0.0012805900
chr13	4,590,750	4,609,174	18,425	-	3,640	ENSMUSG00000045410.18	protein_coding	56043	Akr1e1	5.507659617	MGI:MGI:1914758	-0.196523382	-4.223520797	0.00006184071664	0.0012805900
chr12	26,300,964	26,415,254	114,291	-	7,340	ENSMUSG00000020642.13	protein_coding	108089	Rnf144a	9.253014026	MGI:MGI:1344401	0.137368145	4.222318127	0.00006211225433	0.0012842962
chr13	67,254,918	67,278,466	23,549	-	8,103	ENSMUSG00000055480.7	protein_coding	238690	Zfp458	0.939124244	MGI:MGI:3040691	-0.193670829	-4.218852548	0.00006290115217	0.0012992633
chr7	101,263,034	101,302,088	39,055	-	8,469	ENSMUSG00000047767.17	protein_coding	73683	Atg16l2	1.528533792	MGI:MGI:1920933	-0.196740160	-4.218150236	0.00006306219780	0.0013011536
chr14	73,525,319	73,595,783	70,465	+	3,988	ENSMUSG00000022110.13	protein_coding	20916	Sucla2	23.611790876	MGI:MGI:1306775	0.083121010	4.217885748	0.00006312294986	0.0013011536
chr8	106,870,242	106,884,566	14,325	+	6,380	ENSMUSG00000031910.14	protein_coding	15118	Has3	3.388445481	MGI:MGI:109599	-0.139964360	-4.217355197	0.00006324498604	0.0013023251
chr15	76,659,858	76,667,853	7,996	+	3,932	ENSMUSG00000004187.11	protein_coding	16581	Kifc2	64.798612306	MGI:MGI:109187	0.170235972	4.215043914	0.00006377928026	0.0013119746
chr2	90,894,634	90,904,827	10,194	-	2,178	ENSMUSG00000005510.9	protein_coding	68349	Ndufs3	31.280516264	MGI:MGI:1915599	0.112317992	4.214426883	0.00006392265213	0.0013135710
chr4	123,262,351	123,298,925	36,575	+	4,027	ENSMUSG00000011257.19	protein_coding	230721	Pabpc4	21.654802261	MGI:MGI:2385206	-0.092011412	-4.213030181	0.00006424833434	0.0013189067
chr8	25,944,453	25,976,753	32,301	-	3,305	ENSMUSG00000037260.8	protein_coding	52120	Hgsnat	9.626957672	MGI:MGI:1196297	0.080532645	4.211647420	0.00006457234108	0.0013241971
chr10	94,790,866	94,944,835	153,970	-	8,349	ENSMUSG00000074785.5	protein_coding	54712	Plxnc1	8.511240131	MGI:MGI:1890127	-0.158957637	-4.211288329	0.00006465674004	0.0013245679
chr11	115,765,433	115,799,366	33,934	+	6,189	ENSMUSG00000020747.18	protein_coding	71947	Tmem94	8.496528320	MGI:MGI:1919197	-0.130097218	-4.210476925	0.00006484783978	0.0013260989
chr13	113,662,896	113,663,676	781	-	781	ENSMUSG00000051456.4	protein_coding	56534	Hspb3	4.046549488	MGI:MGI:1928479	0.275382865	4.210407344	0.00006486425263	0.0013260989
chr19	56,826,209	56,870,012	43,804	+	5,443	ENSMUSG00000025081.13	protein_coding	83561	Tdrd1	0.411002728	MGI:MGI:1933218	-0.324499815	-4.209880135	0.00006498874171	0.0013272854
chr3	68,892,499	69,004,543	112,045	-	12,428	ENSMUSG00000027778.15	protein_coding	68259	Ift80	1.993369204	MGI:MGI:1915509	-0.200269731	-4.207376751	0.00006558301041	0.0013380542
chr17	25,718,926	25,727,371	8,446	-	5,299	ENSMUSG00000019214.14	protein_coding	214901	Chtf18	0.507657574	MGI:MGI:2384887	-0.229935054	-4.206982074	0.00006567717786	0.0013386081
chr5	93,093,437	93,176,437	83,001	+	9,472	ENSMUSG00000058013.11	protein_coding	NA	Septin11	15.359128918	NA	-0.092176485	-4.203885885	0.00006642044241	0.0013523771
chr8	85,075,035	85,080,632	5,598	-	2,818	ENSMUSG00000005150.16	protein_coding	67836	Wdr83	6.582046405	MGI:MGI:1915086	-0.119038033	-4.202352592	0.00006679151568	0.0013585476
chr1	74,236,084	74,268,209	32,126	+	2,033	ENSMUSG00000006304.14	protein_coding	76709	Arpc2	105.540682282	MGI:MGI:1923959	0.086751579	4.201697404	0.00006695068641	0.0013603998
chr8	121,549,440	121,578,806	29,367	-	5,482	ENSMUSG00000052934.14	protein_coding	76454	Fbxo31	18.786697007	MGI:MGI:1354708	0.102822584	4.201167276	0.00006707974280	0.0013616370
chr1	136,466,343	136,527,646	61,304	+	10,358	ENSMUSG00000041498.13	protein_coding	381293	Kif14	0.552256307	MGI:MGI:1098226	-0.239101502	-4.197030593	0.00006809505726	0.0013808433
chr12	65,132,734	65,172,580	39,847	-	7,990	ENSMUSG00000047534.17	protein_coding	217653	Mis18bp1	3.139352481	MGI:MGI:2145099	-0.180878951	-4.196655712	0.00006818779683	0.0013813216
chr12	59,200,655	59,219,725	19,071	-	4,466	ENSMUSG00000035329.7	protein_coding	70611	Fbxo33	5.318564743	MGI:MGI:1917861	0.158701069	4.196131284	0.00006831773623	0.0013825516
chr9	114,978,569	115,232,223	253,655	+	5,139	ENSMUSG00000040875.12	protein_coding	74486	Osbpl10	4.124958645	MGI:MGI:1921736	0.097265133	4.194518849	0.00006871875082	0.0013892594
chr10	79,996,494	80,015,572	19,079	+	6,752	ENSMUSG00000035722.15	protein_coding	27403	Abca7	2.823132629	MGI:MGI:1351646	-0.217873309	-4.194135489	0.00006881442602	0.0013897870
chr2	181,364,928	181,383,628	18,701	+	5,624	ENSMUSG00000027582.16	protein_coding	229007	Zgpat	5.611220539	MGI:MGI:2449939	-0.183088043	-4.193848641	0.00006888609876	0.0013898292
chr9	63,394,447	63,399,241	4,795	-	2,000	ENSMUSG00000032403.8	protein_coding	69478	2300009A05Rik	3.085498680	MGI:MGI:1916728	0.149524532	4.192228428	0.00006929228174	0.0013956647
chr11	94,211,454	94,215,495	4,042	+	2,288	ENSMUSG00000037573.5	protein_coding	22057	Tob1	8.137043189	MGI:MGI:1349721	0.232574984	4.191900277	0.00006937482878	0.0013956647
chrX	52,988,137	53,021,659	33,523	+	1,289	ENSMUSG00000025630.8	protein_coding	15452	Hprt	49.352441520	MGI:MGI:96217	0.090476563	4.191860059	0.00006938495227	0.0013956647
chr16	33,062,521	33,125,569	63,049	+	6,511	ENSMUSG00000022802.2	protein_coding	239833	Lmln	1.929867258	MGI:MGI:2444736	0.160115030	4.191176187	0.00006955731040	0.0013977241
chr2	75,978,247	75,981,967	3,721	-	3,721	ENSMUSG00000075271.4	protein_coding	78802	Ttc30a1	1.673686825	MGI:MGI:1926052	-0.139977564	-4.188645941	0.00007019860841	0.0014091930
chr2	26,315,515	26,348,237	32,723	+	5,383	ENSMUSG00000026930.15	protein_coding	67839	Gpsm1	28.382593873	MGI:MGI:1915089	0.089632040	4.188134672	0.00007032888084	0.0014103906
chr3	141,465,216	141,830,538	365,323	+	19,135	ENSMUSG00000059921.15	protein_coding	22253	Unc5c	1.812264294	MGI:MGI:1095412	0.213612300	4.186987482	0.00007062203542	0.0014120166
chr5	30,666,777	30,674,830	8,054	+	5,860	ENSMUSG00000029177.9	protein_coding	12615	Cenpa	1.678080027	MGI:MGI:88375	-0.182307539	-4.187491776	0.00007049302264	0.0014120166
chr10	7,767,947	7,792,822	24,876	-	2,996	ENSMUSG00000040006.13	protein_coding	215751	Ginm1	4.184353310	MGI:MGI:2384905	0.133350029	4.187020554	0.00007061356750	0.0014120166
chrX	165,129,017	165,327,393	198,377	-	3,150	ENSMUSG00000018589.8	protein_coding	237213	Glra2	24.882020403	MGI:MGI:95748	-0.093675059	-4.182241101	0.00007184748874	0.0014350817
chr12	15,791,727	15,816,922	25,196	-	4,335	ENSMUSG00000020601.8	protein_coding	217410	Trib2	25.078572112	MGI:MGI:2145021	-0.078130159	-4.181144950	0.00007213339794	0.0014393531
chr10	78,269,178	78,352,442	83,265	-	7,790	ENSMUSG00000001211.15	protein_coding	28169	Agpat3	25.205042366	MGI:MGI:1336186	0.056264667	4.180166167	0.00007238961972	0.0014430242
chr4	131,768,457	131,838,288	69,832	-	7,113	ENSMUSG00000028909.17	protein_coding	19273	Ptpru	5.195426511	MGI:MGI:1321151	-0.101963404	-4.179656522	0.00007252337938	0.0014442492
chr8	78,804,865	78,821,140	16,276	-	4,076	ENSMUSG00000031683.16	protein_coding	78651	Lsm6	12.380601153	MGI:MGI:1925901	0.082728010	4.179015035	0.00007269208017	0.0014447280
chr13	23,681,467	23,683,948	2,482	-	2,482	ENSMUSG00000069270.6	protein_coding	319164	H2ac6	2.048540884	MGI:MGI:2448287	-0.691526115	-4.179285846	0.00007262081514	0.0014447280
chr5	30,588,170	30,622,232	34,063	+	3,976	ENSMUSG00000049265.7	protein_coding	16527	Kcnk3	3.911852441	MGI:MGI:1100509	0.143368608	4.178048832	0.00007294688937	0.0014483511
chr8	22,411,361	22,429,665	18,305	+	3,291	ENSMUSG00000031533.4	protein_coding	57312	Mrps31	5.223127299	MGI:MGI:1913153	0.095621410	4.177547672	0.00007307939506	0.0014495410
chr6	11,900,292	11,907,497	7,206	-	1,381	ENSMUSG00000029632.7	protein_coding	17992	Ndufa4	122.090760166	MGI:MGI:107686	0.106265853	4.176433550	0.00007337479735	0.0014539565
chr11	60,699,723	60,714,186	14,464	+	4,862	ENSMUSG00000020536.12	protein_coding	16897	Llgl1	14.419765186	MGI:MGI:102682	-0.092985604	-4.175442387	0.00007363856414	0.0014577370
chr5	110,447,989	110,449,946	1,958	+	1,958	ENSMUSG00000105482.1	antisense	NA	Gm42596	0.089928029	NA	0.698745419	4.174678450	0.00007384248470	0.0014603265
chr2	157,097,533	157,135,265	37,733	-	9,150	ENSMUSG00000027639.16	protein_coding	56045	Samhd1	3.483301664	MGI:MGI:1927468	-0.133719188	-4.173950421	0.00007403732613	0.0014627315
chr3	20,057,811	20,118,476	60,666	+	5,931	ENSMUSG00000002428.12	protein_coding	20585	Hltf	3.934715605	MGI:MGI:1196437	-0.180428395	-4.173471924	0.00007416565516	0.0014633139
chr13	45,389,742	45,412,022	22,281	+	3,233	ENSMUSG00000038175.10	protein_coding	218203	Mylip	4.694411395	MGI:MGI:2388271	0.182476634	4.173294374	0.00007421332707	0.0014633139
chr8	53,586,867	53,639,065	52,199	-	5,555	ENSMUSG00000039396.11	protein_coding	234258	Neil3	0.797655703	MGI:MGI:2384588	-0.216524187	-4.172714242	0.00007436929774	0.0014649431
chr13	104,142,149	104,178,469	36,321	-	3,883	ENSMUSG00000021711.17	protein_coding	66975	Trappc13	8.779254314	MGI:MGI:1914225	-0.170437551	-4.171899539	0.00007458886627	0.0014678207
chr19	16,615,366	16,780,927	165,562	-	17,801	ENSMUSG00000046230.11	protein_coding	271564	Vps13a	2.411528397	MGI:MGI:2444304	-0.237257804	-4.170163032	0.00007505895327	0.0014756177
chr10	38,965,515	39,110,188	144,674	+	12,068	ENSMUSG00000019846.11	protein_coding	16775	Lama4	1.252530093	MGI:MGI:109321	-0.177562984	-4.169837807	0.00007514731103	0.0014759021
chr11	65,002,039	65,162,961	160,923	-	5,819	ENSMUSG00000033389.16	protein_coding	216831	Arhgap44	11.466962439	MGI:MGI:2144423	0.123401739	4.168710970	0.00007545422724	0.0014804742
chr4	132,355,923	132,422,489	66,567	-	4,960	ENSMUSG00000066043.13	protein_coding	100169	Phactr4	3.348071356	MGI:MGI:2140327	-0.166153760	-4.166771760	0.00007598523712	0.0014837364
chr6	5,483,351	5,496,261	12,911	-	3,511	ENSMUSG00000019577.6	protein_coding	27273	Pdk4	2.018721267	MGI:MGI:1351481	0.203340348	4.166747482	0.00007599190808	0.0014837364
chr9	30,427,108	30,466,726	39,619	+	6,725	ENSMUSG00000031993.7	protein_coding	102607	Snx19	8.053163117	MGI:MGI:1921581	-0.080746531	-4.167273544	0.00007584749074	0.0014837364
chr17	24,047,734	24,073,485	25,752	-	3,730	ENSMUSG00000016946.6	protein_coding	69259	Kctd5	18.574851377	MGI:MGI:1916509	0.088069480	4.167321162	0.00007583443151	0.0014837364
chr17	84,705,247	84,790,558	85,312	-	8,504	ENSMUSG00000024120.12	protein_coding	72416	Lrpprc	8.216763582	MGI:MGI:1919666	-0.078736376	-4.167106213	0.00007589339851	0.0014837364
chr18	69,979,131	70,141,605	162,475	-	10,679	ENSMUSG00000024511.15	protein_coding	80718	Rab27b	5.121963361	MGI:MGI:1931295	-0.185523267	-4.166369549	0.00007609582350	0.0014843144
chr4	129,984,870	130,022,633	37,764	+	6,487	ENSMUSG00000028782.14	protein_coding	230775	Adgrb2	43.114323494	MGI:MGI:2451244	0.094503762	4.165249025	0.00007640472477	0.0014874347
chr7	15,946,958	15,967,567	20,610	-	5,119	ENSMUSG00000074364.6	protein_coding	259300	Ehd2	0.889880225	MGI:MGI:2154274	-0.224948694	-4.165361857	0.00007637356516	0.0014874347
chr4	56,802,345	56,809,601	7,257	+	5,574	ENSMUSG00000038827.11	protein_coding	230234	Abitram	4.334510098	MGI:MGI:2677850	-0.090820708	-4.163380763	0.00007692244534	0.0014960554
chr10	79,910,052	79,921,208	11,157	-	5,584	ENSMUSG00000035781.14	protein_coding	109284	R3hdm4	34.996260401	MGI:MGI:1924814	0.086864538	4.163011239	0.00007702524447	0.0014965975
chr6	94,604,529	94,700,158	95,630	-	5,585	ENSMUSG00000030029.14	protein_coding	16206	Lrig1	5.271025593	MGI:MGI:107935	0.109073226	4.162567827	0.00007714877369	0.0014969668
chr13	23,553,262	23,560,686	7,425	+	7,425	ENSMUSG00000052565.7	protein_coding	14957	H1f3	0.409940345	MGI:MGI:107502	-0.984187216	-4.162405139	0.00007719414429	0.0014969668
chr11	4,637,747	4,683,385	45,639	+	4,964	ENSMUSG00000020412.16	protein_coding	75452	Ascc2	5.804362197	MGI:MGI:1922702	-0.110368991	-4.162018480	0.00007730207967	0.0014976060
chr2	165,288,031	165,326,479	38,449	-	6,652	ENSMUSG00000017670.16	protein_coding	140579	Elmo2	16.980043355	MGI:MGI:2153045	-0.078152840	-4.160913713	0.00007761127460	0.0015021391
chr4	22,357,543	22,434,091	76,549	+	3,798	ENSMUSG00000040410.14	protein_coding	269514	Fbxl4	4.080599809	MGI:MGI:2140367	0.134020412	4.160574400	0.00007770647787	0.0015025258
chr19	47,501,033	47,537,507	36,475	-	4,045	ENSMUSG00000042694.17	protein_coding	108689	Stn1	3.195116105	MGI:MGI:1915581	-0.178594626	-4.158474939	0.00007829804288	0.0015125001
chr9	48,985,375	49,042,510	57,136	+	5,832	ENSMUSG00000032267.8	protein_coding	235323	Usp28	4.087198014	MGI:MGI:2442293	-0.129439456	-4.154003093	0.00007957255921	0.0015356351
chr9	7,558,456	7,568,485	10,030	+	2,425	ENSMUSG00000005800.3	protein_coding	17394	Mmp8	0.905781111	MGI:MGI:1202395	-0.918871852	-4.151932213	0.00008016952143	0.0015456622
chr13	62,449,317	62,451,609	2,293	-	2,293	ENSMUSG00000113841.1	TEC	NA	Gm48701	0.475953081	NA	-0.305035115	-4.150006846	0.00008072840240	0.0015549365
chr1	75,180,860	75,191,923	11,064	-	5,762	ENSMUSG00000033124.16	protein_coding	245860	Atg9a	7.894279632	MGI:MGI:2138446	0.095656728	4.149200556	0.00008096355822	0.0015564640
chr9	58,582,240	58,657,955	75,716	+	6,168	ENSMUSG00000032336.17	protein_coding	20320	Nptn	67.250736672	MGI:MGI:108077	0.075999110	4.149212888	0.00008095995653	0.0015564640
chr11	102,304,560	102,319,742	15,183	-	6,552	ENSMUSG00000020923.17	protein_coding	21429	Ubtf	23.982570809	MGI:MGI:98512	0.123038117	4.148556256	0.00008115194326	0.0015585855
