chr	start	end	width	strand	Length	gencodeID	gene_type	EntrezID	Symbol	meanExprs	MGI_Symbol	logFC	t	P.Value	adj.P.Val
chr6	137,735,078	137,751,932	16,855	+	3,090	ENSMUSG00000030224.10	protein_coding	20901	Strap	49.664092338	MGI:MGI:1329037	0.121126579	4.566208933	0.000059392	0.008295748
chr3	95,988,429	95,996,001	7,573	-	2,172	ENSMUSG00000015745.9	protein_coding	67220	Plekho1	26.158558567	MGI:MGI:1914470	0.146512452	4.539976688	0.000064216	0.008550964
chr8	107,031,222	107,045,755	14,534	+	2,522	ENSMUSG00000031913.9	protein_coding	116733	Vps4a	48.527888639	MGI:MGI:1890520	0.097440450	4.541531452	0.000063919	0.008550964
chr13	107,022,553	107,055,497	32,945	+	4,846	ENSMUSG00000071181.2	processed_transcript	100040322	3830408C21Rik	0.983522378	MGI:MGI:1917940	0.284188069	4.543305435	0.000063583	0.008550964
chr16	91,614,254	91,619,026	4,773	-	3,565	ENSMUSG00000039763.10	protein_coding	246738	Dnajc28	2.303640862	MGI:MGI:2181053	-0.275030172	-4.543353249	0.000063574	0.008550964
chr18	77,773,729	77,782,869	9,141	+	3,135	ENSMUSG00000025428.15	protein_coding	11946	Atp5a1	246.685627219	MGI:MGI:88115	0.093677861	4.544959029	0.000063271	0.008550964
chr19	41,829,970	41,832,583	2,614	+	2,614	ENSMUSG00000067199.4	protein_coding	14296	Frat1	7.837164515	MGI:MGI:109450	0.154550927	4.547889910	0.000062721	0.008550964
chrX	8,138,975	8,145,697	6,723	-	4,698	ENSMUSG00000031167.16	protein_coding	19652	Rbm3	40.218793218	MGI:MGI:1099460	0.221565381	4.551298071	0.000062088	0.008550964
chrX	74,409,483	74,429,194	19,712	-	3,080	ENSMUSG00000031400.10	protein_coding	14381	G6pdx	18.449911051	MGI:MGI:105979	0.127591211	4.534497802	0.000065271	0.008633928
chr1	177,442,351	177,450,764	8,414	+	6,138	ENSMUSG00000063659.11	protein_coding	30928	Zbtb18	108.831566914	MGI:MGI:1353609	0.214077285	4.525704468	0.000067001	0.008664952
chr4	129,899,093	129,899,902	810	+	810	ENSMUSG00000070729.5	processed_pseudogene	622469	Gm12966	13.386674635	MGI:MGI:3652043	0.229372224	4.526593686	0.000066824	0.008664952
chr7	24,254,794	24,262,375	7,582	+	2,721	ENSMUSG00000030486.9	protein_coding	54678	Zfp108	1.979625737	MGI:MGI:1891198	-0.310775574	-4.524500928	0.000067241	0.008664952
chr16	59,471,775	59,492,461	20,687	+	5,290	ENSMUSG00000022724.15	protein_coding	67014	Riox2	1.926406620	MGI:MGI:1914264	-0.267277205	-4.528735403	0.000066399	0.008664952
chr12	111,572,317	111,574,402	2,086	-	1,954	ENSMUSG00000096995.2	bidirectional_promoter_lncRNA	100504687	2810029C07Rik	6.155200774	MGI:MGI:1919920	0.185619875	4.511593525	0.000069871	0.008946176
chr2	19,371,440	19,394,976	23,537	+	1,377	ENSMUSG00000023094.14	protein_coding	76467	Msrb2	5.894763346	MGI:MGI:1923717	-0.302994382	-4.506289322	0.000070981	0.008974129
chr15	79,075,179	79,094,405	19,227	+	3,639	ENSMUSG00000033047.5	protein_coding	223691	Eif3l	33.563479524	MGI:MGI:2386251	0.102943932	4.506256857	0.000070988	0.008974129
chr4	138,972,888	139,059,171	86,284	+	3,596	ENSMUSG00000041143.16	protein_coding	77056	Tmco4	0.739750311	MGI:MGI:1924306	-0.523335092	-4.489990688	0.000074502	0.009242867
chr11	20,543,253	20,653,021	109,769	+	6,352	ENSMUSG00000049800.13	protein_coding	58172	Sertad2	5.060120442	MGI:MGI:1931026	0.199235448	4.493243084	0.000073786	0.009242867
chr17	30,004,733	30,210,022	205,290	+	4,392	ENSMUSG00000044477.12	protein_coding	21769	Zfand3	21.991094845	MGI:MGI:1096572	0.127132368	4.490209960	0.000074453	0.009242867
chrX	57,383,530	57,392,981	9,452	-	4,330	ENSMUSG00000031134.16	protein_coding	19655	Rbmx	34.182293159	MGI:MGI:1343044	0.193726371	4.487139709	0.000075135	0.009263900
chr7	128,062,640	128,118,491	55,852	+	5,024	ENSMUSG00000030786.18	protein_coding	16409	Itgam	0.451118685	MGI:MGI:96607	-0.600903852	-4.481821802	0.000076331	0.009353569
chr1	152,954,993	153,119,164	164,172	+	5,781	ENSMUSG00000042751.14	protein_coding	226518	Nmnat2	25.484654167	MGI:MGI:2444155	0.117604644	4.474063700	0.000078109	0.009412835
chr5	24,452,177	24,502,047	49,871	+	5,321	ENSMUSG00000023353.14	protein_coding	213990	Agap3	44.264948123	MGI:MGI:2183446	0.166670679	4.472232323	0.000078534	0.009412835
chr7	97,696,634	97,718,879	22,246	+	3,856	ENSMUSG00000025439.5	protein_coding	12729	Clns1a	19.624773052	MGI:MGI:109638	0.111122787	4.470280735	0.000078990	0.009412835
chr9	114,585,878	114,640,074	54,197	-	6,719	ENSMUSG00000056167.8	protein_coding	78893	Cnot10	6.883949259	MGI:MGI:1926143	0.154547729	4.469511742	0.000079171	0.009412835
chr14	31,359,880	31,436,078	76,199	-	3,194	ENSMUSG00000021892.14	protein_coding	24056	Sh3bp5	54.107245088	MGI:MGI:1344391	0.124821840	4.473777818	0.000078175	0.009412835
chr9	59,617,284	59,650,285	33,002	+	7,763	ENSMUSG00000025237.16	protein_coding	67287	Parp6	24.408285750	MGI:MGI:1914537	0.097164602	4.467414581	0.000079665	0.009415534
chr8	79,338,395	79,399,518	61,124	-	6,262	ENSMUSG00000031681.16	protein_coding	17125	Smad1	7.407111046	MGI:MGI:109452	0.141554799	4.461577816	0.000081056	0.009494603
chr17	87,025,550	87,035,810	10,261	+	1,712	ENSMUSG00000024146.9	protein_coding	56724	Cript	43.243574320	MGI:MGI:1929655	0.119191857	4.460628496	0.000081285	0.009494603
chr11	17,182,107	17,232,914	50,808	+	2,497	ENSMUSG00000078970.5	protein_coding	103784	Dnaaf10	3.225976798	MGI:MGI:2144224	-0.224845177	-4.451935902	0.000083407	0.009685850
chr13	91,880,400	92,131,494	251,095	-	9,237	ENSMUSG00000021708.17	protein_coding	19418	Rasgrf2	8.567162912	MGI:MGI:109137	-0.216168460	-4.449655258	0.000083973	0.009695185
chr1	136,131,389	136,177,998	46,610	+	12,184	ENSMUSG00000041642.18	protein_coding	16565	Kif21b	45.968616231	MGI:MGI:109234	0.177672206	4.441706671	0.000085974	0.009869233
chr2	153,741,274	153,773,310	32,037	+	7,811	ENSMUSG00000027479.14	protein_coding	13589	Mapre1	38.619188921	MGI:MGI:891995	0.094570050	4.430010339	0.000089005	0.010007333
chr4	149,586,468	149,648,899	62,432	+	4,662	ENSMUSG00000039953.13	protein_coding	65945	Clstn1	176.180029009	MGI:MGI:1929895	0.106143910	4.429201100	0.000089219	0.010007333
chr5	107,744,795	107,875,107	130,313	-	8,060	ENSMUSG00000011831.16	protein_coding	14020	Evi5	12.953209960	MGI:MGI:104736	0.194253333	4.430096392	0.000088982	0.010007333
chr17	45,567,775	45,573,271	5,497	-	2,999	ENSMUSG00000023944.14	protein_coding	15516	Hsp90ab1	611.734319693	MGI:MGI:96247	0.096291646	4.427451242	0.000089682	0.010007333
chr18	37,806,364	37,841,873	35,510	+	5,499	ENSMUSG00000102918.1	protein_coding	93706	Pcdhgc3	19.911065583	MGI:MGI:1935201	0.136368138	4.433896055	0.000087987	0.010007333
chr13	67,779,693	67,792,512	12,820	+	4,792	ENSMUSG00000090659.9	protein_coding	72958	Zfp493	0.702653889	MGI:MGI:1920208	-0.346920476	-4.425365994	0.000090238	0.010013374
chr5	129,501,221	129,571,384	70,164	+	8,000	ENSMUSG00000029439.14	protein_coding	231769	Sfswap	12.521210405	MGI:MGI:101760	0.164303529	4.420890172	0.000091441	0.010068316
chr17	33,646,233	33,686,860	40,628	-	7,956	ENSMUSG00000059208.15	protein_coding	76936	Hnrnpm	17.590347405	MGI:MGI:1926465	0.196007520	4.419785312	0.000091741	0.010068316
chr5	122,158,278	122,175,273	16,996	+	3,424	ENSMUSG00000004455.16	protein_coding	19047	Ppp1cc	32.732727644	MGI:MGI:104872	0.181294195	4.414215780	0.000093266	0.010164924
chr11	102,248,882	102,265,187	16,306	+	3,032	ENSMUSG00000034773.16	protein_coding	NA	Hrob	0.439980396	NA	-0.515337497	-4.412866132	0.000093639	0.010164924
chr3	34,104,270	34,682,619	578,350	+	11,594	ENSMUSG00000105265.4	processed_transcript	320478	Sox2ot	2.852593160	MGI:MGI:2444112	0.150209096	4.393647361	0.000099116	0.010447460
chr7	35,046,422	35,056,573	10,152	-	5,621	ENSMUSG00000056216.9	protein_coding	12611	Cebpg	6.444423389	MGI:MGI:104982	-0.237973874	-4.393306833	0.000099216	0.010447460
chr14	8,098,211	8,165,117	66,907	+	4,042	ENSMUSG00000033885.15	protein_coding	218699	Pxk	8.234848326	MGI:MGI:1289230	0.154640630	4.397124654	0.000098102	0.010447460
chr14	49,004,090	49,066,653	62,564	-	17,988	ENSMUSG00000061244.14	protein_coding	105504	Exoc5	5.530613350	MGI:MGI:2145645	0.159362682	4.392748591	0.000099380	0.010447460
chr17	20,945,311	20,965,916	20,606	+	3,411	ENSMUSG00000007564.15	protein_coding	51792	Ppp2r1a	165.713557086	MGI:MGI:1926334	0.102548365	4.393970516	0.000099022	0.010447460
chr17	74,199,036	74,295,496	96,461	-	7,079	ENSMUSG00000058704.9	protein_coding	76890	Memo1	8.388934720	MGI:MGI:1924140	0.145708970	4.394090100	0.000098987	0.010447460
chr2	38,723,370	38,927,688	204,319	-	10,824	ENSMUSG00000063972.13	protein_coding	14536	Nr6a1	0.460844549	MGI:MGI:1352459	0.268544811	4.388565230	0.000100617	0.010522082
chr7	111,067,750	111,083,017	15,268	-	10,166	ENSMUSG00000005610.17	protein_coding	13690	Eif4g2	161.147224728	MGI:MGI:109207	0.103261405	4.374129639	0.000105001	0.010815529
chr10	115,368,404	115,384,410	16,007	-	5,266	ENSMUSG00000020137.5	protein_coding	66816	Thap2	4.414688091	MGI:MGI:1914066	-0.330602914	-4.375168138	0.000104680	0.010815529
chr11	100,582,818	100,620,178	37,361	-	8,726	ENSMUSG00000014195.16	protein_coding	56354	Dnajc7	23.330908110	MGI:MGI:1928373	0.110819931	4.373981773	0.000105047	0.010815529
chr11	78,158,499	78,165,589	7,091	-	3,292	ENSMUSG00000017386.10	protein_coding	22032	Traf4	25.127179487	MGI:MGI:1202880	0.184323028	4.368325174	0.000106817	0.010941334
chr1	7,088,920	7,169,598	80,679	+	6,654	ENSMUSG00000051285.17	protein_coding	319263	Pcmtd1	13.227564826	MGI:MGI:2441773	0.166469338	4.356930310	0.000110471	0.011036695
chr1	82,316,452	82,445,366	128,915	+	6,966	ENSMUSG00000026142.15	protein_coding	76867	Rhbdd1	0.786369708	MGI:MGI:1924117	-0.355664872	-4.355119665	0.000111063	0.011036695
chr2	181,384,250	181,387,199	2,950	+	2,976	ENSMUSG00000085028.2	transcribed_unitary_pseudogene	329584	Slc2a4rg-ps	1.161922923	MGI:MGI:3651388	-0.441621871	-4.355724883	0.000110865	0.011036695
chr11	52,231,995	52,246,858	14,864	+	2,211	ENSMUSG00000036309.14	protein_coding	21402	Skp1	178.808845878	MGI:MGI:103575	0.095182068	4.357770715	0.000110198	0.011036695
chr17	23,752,793	23,771,522	18,730	-	4,266	ENSMUSG00000040097.16	protein_coding	224613	Flywch1	30.151954117	MGI:MGI:2442638	0.134149888	4.360123542	0.000109435	0.011036695
chr17	63,057,452	63,500,017	442,566	-	5,526	ENSMUSG00000023965.13	protein_coding	50758	Fbxl17	11.487516746	MGI:MGI:1354704	0.139240416	4.363028375	0.000108501	0.011036695
chr4	154,020,470	154,026,230	5,761	-	5,761	ENSMUSG00000078350.11	protein_coding	68859	Smim1	0.837471172	MGI:MGI:1916109	-0.435005865	-4.351010713	0.000112418	0.011056981
chr7	90,467,438	90,476,001	8,564	-	4,740	ENSMUSG00000030614.8	protein_coding	68472	Tmem126b	4.132305903	MGI:MGI:1915722	-0.184609009	-4.351159424	0.000112369	0.011056981
chr13	67,387,905	67,399,819	11,915	-	2,324	ENSMUSG00000078994.9	protein_coding	72807	Zfp429	1.039016383	MGI:MGI:1920057	-0.487746903	-4.349476423	0.000112928	0.011056981
chr8	94,214,564	94,317,227	102,664	+	4,257	ENSMUSG00000032939.14	protein_coding	71805	Nup93	7.635219639	MGI:MGI:1919055	0.172984477	4.346661627	0.000113870	0.011094792
chr4	103,038,065	103,114,299	76,235	-	7,307	ENSMUSG00000035126.19	protein_coding	242584	Dnai4	0.864514736	MGI:MGI:2385328	-0.312754923	-4.339437391	0.000116322	0.011097700
chr4	131,878,628	131,883,237	4,610	+	4,610	ENSMUSG00000102602.1	TEC	319635	A930004J17Rik	0.424668315	MGI:MGI:2442442	0.368206127	4.341513386	0.000115612	0.011097700
chr9	108,002,501	108,048,782	46,282	+	6,487	ENSMUSG00000032594.11	protein_coding	27399	Ip6k1	31.090862469	MGI:MGI:1351633	0.134853444	4.340118411	0.000116089	0.011097700
chr13	54,503,779	54,551,290	47,512	+	5,675	ENSMUSG00000043183.18	protein_coding	319719	Simc1	4.477635774	MGI:MGI:2442599	-0.197185191	-4.342982004	0.000115112	0.011097700
chr19	6,119,399	6,128,304	8,906	-	2,293	ENSMUSG00000024787.14	protein_coding	69024	Snx15	21.388495617	MGI:MGI:1916274	0.136510966	4.338402043	0.000116678	0.011097700
chr4	116,819,904	116,821,707	1,804	-	1,804	ENSMUSG00000043155.4	protein_coding	242642	Hpdl	0.359036798	MGI:MGI:2444646	-0.762652254	-4.332018016	0.000118894	0.011187260
chr11	80,383,279	80,405,733	22,455	+	6,658	ENSMUSG00000017421.18	protein_coding	22680	Zfp207	24.598293653	MGI:MGI:1340045	0.331591654	4.329275039	0.000119860	0.011187260
chr12	85,824,659	86,061,893	237,235	+	15,875	ENSMUSG00000012609.19	protein_coding	320244	Ttll5	1.453916692	MGI:MGI:2443657	0.199240391	4.331540185	0.000119062	0.011187260
chr15	79,417,856	79,455,566	37,711	-	6,590	ENSMUSG00000022433.20	protein_coding	27373	Csnk1e	41.092948067	MGI:MGI:1351660	0.118149913	4.329721779	0.000119702	0.011187260
chr7	101,092,863	101,284,405	191,543	+	16,627	ENSMUSG00000030691.15	protein_coding	207278	Fchsd2	7.079299511	MGI:MGI:2448475	0.119623829	4.326509757	0.000120840	0.011223876
chr13	77,702,033	78,163,655	461,623	+	8,134	ENSMUSG00000064138.14	protein_coding	68675	Fam172a	6.846671446	MGI:MGI:1915925	0.123032903	4.325009637	0.000121376	0.011223876
chr1	159,232,320	159,347,640	115,321	+	17,516	ENSMUSG00000040782.12	protein_coding	26374	Cop1	5.335812380	MGI:MGI:1347046	0.159370845	4.319194444	0.000123473	0.011313080
chr2	66,184,327	66,256,617	72,291	-	9,282	ENSMUSG00000034848.17	protein_coding	73668	Ttc21b	1.409822726	MGI:MGI:1920918	-0.164440099	-4.320040381	0.000123166	0.011313080
chr4	62,383,654	62,408,642	24,989	-	7,180	ENSMUSG00000066149.11	protein_coding	66440	Cdc26	5.246307562	MGI:MGI:1913690	0.091014623	4.315890896	0.000124680	0.011330079
chr11	110,399,122	110,525,522	126,401	+	3,444	ENSMUSG00000020623.11	protein_coding	26399	Map2k6	5.098925131	MGI:MGI:1346870	0.168016081	4.315584234	0.000124793	0.011330079
chr10	95,547,007	95,564,146	17,140	-	3,210	ENSMUSG00000020029.6	protein_coding	71207	Nudt4	65.065075499	MGI:MGI:1918457	0.145537022	4.305898595	0.000128403	0.011552834
chrX	75,416,628	75,454,001	37,374	+	7,887	ENSMUSG00000031201.17	protein_coding	210766	Brcc3	3.733466719	MGI:MGI:2389572	0.181226331	4.306625785	0.000128129	0.011552834
chr2	26,208,637	26,237,525	28,889	-	4,644	ENSMUSG00000036327.18	protein_coding	227638	Qsox2	4.438819713	MGI:MGI:2387194	-0.212774745	-4.294872394	0.000132638	0.011827315
chr7	97,332,327	97,350,213	17,887	+	2,966	ENSMUSG00000044952.5	protein_coding	622320	Kctd21	3.131355898	MGI:MGI:3643121	-0.380612547	-4.295125839	0.000132539	0.011827315
chr16	11,192,970	11,203,331	10,362	-	2,258	ENSMUSG00000005846.12	protein_coding	66409	Rsl1d1	41.148402928	MGI:MGI:1913659	0.119232211	4.292055047	0.000133742	0.011872747
chr1	171,767,127	171,801,184	34,058	+	6,156	ENSMUSG00000015316.11	protein_coding	27218	Slamf1	5.619568000	MGI:MGI:1351314	-1.454245798	-4.282886621	0.000137398	0.012036991
chr14	55,884,947	55,896,781	11,835	+	6,502	ENSMUSG00000047153.4	protein_coding	219094	Khnyn	3.180562157	MGI:MGI:2451333	-0.150051394	-4.281391271	0.000138003	0.012036991
chr16	8,658,580	8,672,155	13,576	-	2,858	ENSMUSG00000008393.9	protein_coding	52502	Carhsp1	61.317164904	MGI:MGI:1196368	0.134051346	4.281432897	0.000137986	0.012036991
chrX	77,761,411	77,796,278	34,868	-	5,807	ENSMUSG00000035725.13	protein_coding	19108	Prkx	6.068030484	MGI:MGI:1309999	0.150672898	4.285170867	0.000136478	0.012036991
chr11	6,389,074	6,406,158	17,085	+	4,655	ENSMUSG00000041164.15	protein_coding	52915	Zmiz2	77.224354072	MGI:MGI:106374	0.175557572	4.279793864	0.000138653	0.012041071
chr9	103,482,947	103,761,837	278,891	-	9,930	ENSMUSG00000042757.16	protein_coding	81907	Tmem108	4.019550834	MGI:MGI:1932411	0.202783590	4.277461215	0.000139607	0.012071436
chr6	54,816,916	54,893,500	76,585	+	6,176	ENSMUSG00000058446.14	protein_coding	387524	Znrf2	19.770672035	MGI:MGI:1196246	0.146981256	4.275184684	0.000140544	0.012100099
chr1	75,142,778	75,147,909	5,132	+	2,999	ENSMUSG00000049339.16	protein_coding	227298	Retreg2	50.620209732	MGI:MGI:2388278	0.088470649	4.267892450	0.000143588	0.012191482
chr7	30,434,982	30,445,535	10,554	-	3,017	ENSMUSG00000006651.8	protein_coding	11803	Aplp1	259.620346097	MGI:MGI:88046	0.100015177	4.265367143	0.000144657	0.012191482
chr9	70,012,550	70,022,866	10,317	+	4,047	ENSMUSG00000033543.17	protein_coding	235459	Gtf2a2	10.499501874	MGI:MGI:1933289	0.122929274	4.265455670	0.000144619	0.012191482
chr11	97,663,414	97,685,463	22,050	+	7,451	ENSMUSG00000038437.11	protein_coding	246198	Mllt6	15.942568157	MGI:MGI:1935145	0.186909853	4.266063216	0.000144362	0.012191482
chr12	49,385,174	49,394,127	8,954	+	3,904	ENSMUSG00000089922.2	protein_coding	NA	Gm43517	0.551869283	NA	0.353382849	4.265469299	0.000144614	0.012191482
chr1	169,928,648	169,934,413	5,766	+	1,734	ENSMUSG00000070532.5	protein_coding	78465	Ccdc190	2.834101811	MGI:MGI:1925715	-0.352294870	-4.259021283	0.000147378	0.012305142
chr2	28,641,228	28,691,167	49,940	+	11,833	ENSMUSG00000026812.16	protein_coding	64930	Tsc1	6.903108107	MGI:MGI:1929183	-0.160642815	-4.258707123	0.000147515	0.012305142
chr11	116,598,165	116,627,019	28,855	-	5,293	ENSMUSG00000020806.15	protein_coding	217344	Rhbdf2	0.313916517	MGI:MGI:2442473	-0.496501175	-4.257924456	0.000147854	0.012305142
chr17	88,530,118	88,588,367	58,250	+	4,255	ENSMUSG00000034709.8	protein_coding	73825	Ppp1r21	15.203699700	MGI:MGI:1921075	0.125880504	4.255581542	0.000148875	0.012338671
chr5	106,964,322	106,984,431	20,110	+	4,183	ENSMUSG00000029283.17	protein_coding	12545	Cdc7	4.653324335	MGI:MGI:1309511	0.212724307	4.251928399	0.000150480	0.012420172
chr1	131,053,700	131,097,826	44,127	-	3,041	ENSMUSG00000016528.10	protein_coding	17164	Mapkapk2	16.868686041	MGI:MGI:109298	0.161207346	4.247982268	0.000152233	0.012513152
chr10	39,368,855	39,565,381	196,527	+	4,363	ENSMUSG00000019843.14	protein_coding	14360	Fyn	57.244375599	MGI:MGI:95602	0.102651770	4.242871147	0.000154533	0.012579139
chr11	116,470,845	116,494,202	23,358	-	3,407	ENSMUSG00000015869.16	protein_coding	67763	Prpsap1	12.606452234	MGI:MGI:1915013	0.223025810	4.242008127	0.000154925	0.012579139
chr18	65,980,738	66,022,580	41,843	-	8,822	ENSMUSG00000041891.16	protein_coding	70361	Lman1	4.099306995	MGI:MGI:1917611	-0.143830110	-4.242991237	0.000154479	0.012579139
chr7	126,928,879	126,945,631	16,753	+	2,487	ENSMUSG00000030685.5	protein_coding	233877	Kctd13	40.259000083	MGI:MGI:1923739	0.160056524	4.240163502	0.000155765	0.012582159
chr8	85,537,633	85,555,344	17,712	-	2,975	ENSMUSG00000031701.6	protein_coding	56445	Dnaja2	52.966729558	MGI:MGI:1931882	0.122794225	4.238859666	0.000156362	0.012582159
chr11	32,642,724	32,746,569	103,846	+	4,327	ENSMUSG00000020271.17	protein_coding	103583	Fbxw11	39.915002352	MGI:MGI:2144023	0.107569297	4.237794144	0.000156852	0.012582159
chr4	119,277,981	119,294,604	16,624	-	2,531	ENSMUSG00000028639.14	protein_coding	22608	Ybx1	242.918857273	MGI:MGI:99146	0.083413434	4.232013045	0.000159534	0.012746102
chr13	106,833,714	106,847,267	13,554	-	2,729	ENSMUSG00000118423.1	transcribed_unitary_pseudogene	113523645	Lrrc70	0.906149926	MGI:MGI:5317337	0.521099736	4.226197221	0.000162277	0.012913633
chr4	129,600,668	129,624,059	23,392	+	4,273	ENSMUSG00000028797.20	protein_coding	76799	Tmem234	17.165628446	MGI:MGI:1924049	0.114485860	4.223752460	0.000163444	0.012922784
chr5	96,373,955	96,784,728	410,774	+	17,709	ENSMUSG00000034687.8	protein_coding	231470	Fras1	0.789397097	MGI:MGI:2385368	-0.257137326	-4.223247681	0.000163686	0.012922784
chr4	124,850,679	124,855,242	4,564	+	1,981	ENSMUSG00000028889.17	protein_coding	230734	Yrdc	13.380232696	MGI:MGI:2387201	0.161010449	4.214420762	0.000167975	0.013004358
chr5	120,876,142	120,887,582	11,441	-	2,340	ENSMUSG00000066861.14	protein_coding	23960	Oas1g	0.084422500	MGI:MGI:97429	-1.785988961	-4.214742577	0.000167816	0.013004358
chr6	52,768,797	53,068,631	299,835	-	2,536	ENSMUSG00000063568.11	protein_coding	231986	Jazf1	17.349841190	MGI:MGI:2141450	0.144692590	4.214450603	0.000167960	0.013004358
chr11	115,523,102	115,536,181	13,080	-	1,736	ENSMUSG00000020738.16	protein_coding	170930	Sumo2	65.730088027	MGI:MGI:2158813	0.097092216	4.216922722	0.000166748	0.013004358
chr13	74,369,326	74,390,836	21,511	-	4,157	ENSMUSG00000069184.4	protein_coding	238722	Zfp72	1.504108616	MGI:MGI:3033356	-0.390418601	-4.217557692	0.000166438	0.013004358
chr9	21,588,682	21,592,772	4,091	-	2,174	ENSMUSG00000032182.15	protein_coding	74766	Yipf2	3.832232308	MGI:MGI:1922016	-0.222749286	-4.212410302	0.000168967	0.013030658
chr18	90,579,777	90,592,522	12,746	+	2,404	ENSMUSG00000110277.2	protein_coding	108168395	Gm45871	2.319368294	MGI:MGI:5804986	-0.379813636	-4.209088059	0.000170619	0.013107452
chr2	26,382,802	26,389,291	6,490	-	3,587	ENSMUSG00000026927.17	protein_coding	68112	Entr1	22.371582790	MGI:MGI:1915362	0.106194800	4.207000189	0.000171665	0.013137304
chr9	40,800,984	40,810,087	9,104	+	4,301	ENSMUSG00000015656.17	protein_coding	15481	Hspa8	298.494652231	MGI:MGI:105384	0.208100886	4.203198711	0.000173586	0.013233630
chr8	111,536,097	111,625,720	89,624	+	7,018	ENSMUSG00000033545.14	protein_coding	170737	Znrf1	29.707943304	MGI:MGI:2177308	0.122493422	4.198589199	0.000175944	0.013362386
chr1	87,853,287	87,945,178	91,892	+	6,850	ENSMUSG00000070738.10	protein_coding	227333	Dgkd	21.023118034	MGI:MGI:2138334	0.133343617	4.197191962	0.000176665	0.013366314
chr8	72,723,285	72,758,201	34,917	+	7,354	ENSMUSG00000031622.16	protein_coding	20467	Sin3b	14.584724947	MGI:MGI:107158	0.155702557	4.192518968	0.000179097	0.013446746
chr14	54,852,736	54,870,961	18,226	-	5,907	ENSMUSG00000057156.10	protein_coding	239099	Homez	1.966330872	MGI:MGI:2678023	-0.232728693	-4.191279533	0.000179748	0.013446746
chrX	20,933,395	20,950,608	17,214	-	5,381	ENSMUSG00000009406.13	protein_coding	13712	Elk1	11.138951409	MGI:MGI:101833	0.133782569	4.191997205	0.000179371	0.013446746
chrX	136,732,942	136,743,690	10,749	-	3,135	ENSMUSG00000031422.16	protein_coding	56397	Morf4l2	94.245355561	MGI:MGI:1927167	0.084596657	4.189703689	0.000180578	0.013458468
chr10	117,051,001	117,063,814	12,814	-	2,557	ENSMUSG00000034024.8	protein_coding	12461	Cct2	106.184659767	MGI:MGI:107186	0.096853662	4.186894956	0.000182068	0.013519043
chr10	127,266,368	127,281,950	15,583	+	4,795	ENSMUSG00000025410.10	protein_coding	69654	Dctn2	51.479606518	MGI:MGI:107733	0.099700610	4.181098853	0.000185180	0.013598468
chr12	69,296,681	69,310,687	14,007	+	5,438	ENSMUSG00000020978.10	protein_coding	69554	Klhdc2	32.928378753	MGI:MGI:1916804	0.108385129	4.182068023	0.000184656	0.013598468
chr17	27,838,150	27,851,968	13,819	+	6,521	ENSMUSG00000024217.10	protein_coding	20630	Snrpc	6.479608957	MGI:MGI:109489	0.126128008	4.181707386	0.000184851	0.013598468
chr8	74,993,356	75,031,972	38,617	+	5,227	ENSMUSG00000034518.14	protein_coding	70823	Hmgxb4	6.347543358	MGI:MGI:1918073	-0.141338545	-4.179495461	0.000186050	0.013612315
chr3	55,625,195	56,183,701	558,507	-	31,361	ENSMUSG00000027799.12	protein_coding	26422	Nbea	12.961503788	MGI:MGI:1347075	0.189222399	4.171904822	0.000190224	0.013866887
chr1	130,717,327	130,724,358	7,032	+	6,128	ENSMUSG00000046404.5	protein_coding	226418	Yod1	8.288035509	MGI:MGI:2442596	0.249454053	4.145465346	0.000205490	0.014136955
chr1	151,428,542	151,458,161	29,620	+	8,211	ENSMUSG00000053286.11	protein_coding	98685	Trmt1l	2.425763732	MGI:MGI:1916185	-0.281282829	-4.148181314	0.000203868	0.014136955
chr1	168,119,364	168,432,270	312,907	-	13,844	ENSMUSG00000052534.15	protein_coding	18514	Pbx1	25.779965875	MGI:MGI:97495	0.200415630	4.152344467	0.000201406	0.014136955
chr2	156,388,065	156,392,829	4,765	-	4,915	ENSMUSG00000102869.2	lincRNA	347740	Norad	116.629252170	MGI:MGI:1914767	0.130138847	4.153528834	0.000200711	0.014136955
chr3	90,072,649	90,100,902	28,254	+	6,085	ENSMUSG00000027940.18	protein_coding	59069	Tpm3	34.555293870	MGI:MGI:1890149	0.088050145	4.162087951	0.000195758	0.014136955
chr4	125,085,134	125,109,889	24,756	+	5,211	ENSMUSG00000028863.13	protein_coding	70088	Meaf6	24.652896454	MGI:MGI:1917338	0.111457762	4.144681466	0.000205960	0.014136955
chr5	43,752,909	43,754,271	1,363	-	1,363	ENSMUSG00000104728.1	TEC	NA	Gm42462	0.513906406	NA	0.782082043	4.159121099	0.000197461	0.014136955
chr6	85,334,962	85,374,564	39,603	-	6,124	ENSMUSG00000051343.11	protein_coding	52055	Rab11fip5	11.299514903	MGI:MGI:1098586	0.109082444	4.151121666	0.000202126	0.014136955
chr7	12,897,815	12,908,239	10,425	+	3,501	ENSMUSG00000054715.11	protein_coding	232878	Zscan22	2.590633937	MGI:MGI:2443312	-0.376780442	-4.158478721	0.000197832	0.014136955
chr7	16,493,719	16,614,937	121,219	-	9,147	ENSMUSG00000058230.12	protein_coding	232906	Arhgap35	33.914010098	MGI:MGI:1929494	0.122329581	4.157965159	0.000198129	0.014136955
